group_code,site_code,marine_site_name,marine_sort_order,latitude,longitude,marine_common_season,marine_season_code,year,season_sequence,season_name,target_assemblage,method_code,species_code,total,mpa_designation,mpa_region,georegion,bioregion,state_province,island,last_updated
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,111,FA08,2008,3,Fall,sea_star,IP,PISOCH,23,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,113,SP09,2009,1,Spring,sea_star,IP,PISOCH,18,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,115,FA09,2009,3,Fall,sea_star,IP,PISOCH,30,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,119,FA10,2010,3,Fall,sea_star,IP,PISOCH,10,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,121,SP11,2011,1,Spring,sea_star,IP,PISOCH,12,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,123,FA11,2011,3,Fall,sea_star,IP,PISOCH,8,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,125,SP12,2012,1,Spring,sea_star,IP,PISGIG,1,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,125,SP12,2012,1,Spring,sea_star,IP,PISOCH,47,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,127,FA12,2012,3,Fall,sea_star,IP,PISOCH,4,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,129,SP13,2013,1,Spring,sea_star,IP,PISGIG,2,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,129,SP13,2013,1,Spring,sea_star,IP,PISOCH,9,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,131,FA13,2013,3,Fall,sea_star,IP,PISOCH,4,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,133,SP14,2014,1,Spring,sea_star,IP,PISOCH,1,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,135,FA14,2014,3,Fall,sea_star,IP,PISOCH,2,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,137,SP15,2015,1,Spring,sea_star,IP,PISOCH,2,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,139,FA15,2015,3,Fall,sea_star,IP,PISOCH,0,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,141,SP16,2016,1,Spring,sea_star,IP,PISOCH,1,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,143,FA16,2016,3,Fall,sea_star,IP,PISOCH,3,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,145,SP17,2017,1,Spring,sea_star,IP,PISOCH,2,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCLA,ALEG,Alegria,6420,34.46714020,-120.27738,147,FA17,2017,3,Fall,sea_star,IP,PISOCH,4,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,78,SU00,2000,2,Summer,sea_star,IP,PISOCH,96,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,82,SU01,2001,2,Summer,sea_star,IP,PISOCH,51,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,86,SU02,2002,2,Summer,sea_star,IP,PISOCH,77,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,90,SU03,2003,2,Summer,sea_star,IP,PISOCH,73,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,94,SU04,2004,2,Summer,sea_star,IP,PISOCH,106,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,98,SU05,2005,2,Summer,sea_star,IP,KATTUN,169,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,98,SU05,2005,2,Summer,sea_star,IP,PISOCH,106,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,102,SU06,2006,2,Summer,sea_star,IP,KATTUN,129,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,102,SU06,2006,2,Summer,sea_star,IP,PISOCH,101,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,106,SU07,2007,2,Summer,sea_star,IP,KATTUN,287,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,106,SU07,2007,2,Summer,sea_star,IP,PISOCH,85,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,110,SU08,2008,2,Summer,sea_star,IP,KATTUN,337,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,110,SU08,2008,2,Summer,sea_star,IP,PISBRE,1,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,110,SU08,2008,2,Summer,sea_star,IP,PISOCH,121,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,118,SU10,2010,2,Summer,sea_star,IP,HENSPP,1,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,118,SU10,2010,2,Summer,sea_star,IP,KATTUN,174,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,118,SU10,2010,2,Summer,sea_star,IP,PISOCH,39,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,122,SU11,2011,2,Summer,sea_star,IP,KATTUN,269,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,122,SU11,2011,2,Summer,sea_star,IP,PISOCH,30,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,126,SU12,2012,2,Summer,sea_star,IP,KATTUN,150,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,126,SU12,2012,2,Summer,sea_star,IP,PISOCH,33,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,130,SU13,2013,2,Summer,sea_star,IP,KATTUN,155,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,130,SU13,2013,2,Summer,sea_star,IP,PISOCH,31,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,134,SU14,2014,2,Summer,sea_star,IP,HENSPP,13,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,134,SU14,2014,2,Summer,sea_star,IP,KATTUN,454,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,134,SU14,2014,2,Summer,sea_star,IP,LEPTAS,251,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,134,SU14,2014,2,Summer,sea_star,IP,PISOCH,29,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,138,SU15,2015,2,Summer,sea_star,IP,HENSPP,6,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,138,SU15,2015,2,Summer,sea_star,IP,KATTUN,444,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,138,SU15,2015,2,Summer,sea_star,IP,LEPTAS,301,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,138,SU15,2015,2,Summer,sea_star,IP,PISOCH,8,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,142,SU16,2016,2,Summer,sea_star,IP,HENSPP,171,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,142,SU16,2016,2,Summer,sea_star,IP,KATTUN,456,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,142,SU16,2016,2,Summer,sea_star,IP,LEPTAS,356,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,142,SU16,2016,2,Summer,sea_star,IP,PISOCH,7,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,146,SU17,2017,2,Summer,sea_star,IP,DERIMB,0,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,146,SU17,2017,2,Summer,sea_star,IP,EVATRO,0,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,146,SU17,2017,2,Summer,sea_star,IP,HENSPP,0,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,146,SU17,2017,2,Summer,sea_star,IP,KATTUN,405,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,146,SU17,2017,2,Summer,sea_star,IP,LEPTAS,124,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,146,SU17,2017,2,Summer,sea_star,IP,PATMIN,0,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,146,SU17,2017,2,Summer,sea_star,IP,PISBRE,0,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,146,SU17,2017,2,Summer,sea_star,IP,PISGIG,0,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,146,SU17,2017,2,Summer,sea_star,IP,PISOCH,9,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,146,SU17,2017,2,Summer,sea_star,IP,PYCHEL,0,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,150,SU18,2018,2,Summer,sea_star,IP,DERIMB,0,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,150,SU18,2018,2,Summer,sea_star,IP,EVATRO,0,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,150,SU18,2018,2,Summer,sea_star,IP,HENSPP,0,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,150,SU18,2018,2,Summer,sea_star,IP,KATTUN,267,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,150,SU18,2018,2,Summer,sea_star,IP,LEPTAS,28,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,150,SU18,2018,2,Summer,sea_star,IP,PATMIN,0,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,150,SU18,2018,2,Summer,sea_star,IP,PISBRE,0,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,150,SU18,2018,2,Summer,sea_star,IP,PISGIG,0,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,150,SU18,2018,2,Summer,sea_star,IP,PISOCH,37,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,150,SU18,2018,2,Summer,sea_star,IP,PYCHEL,0,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,154,SU19,2019,2,Summer,sea_star,IP,DERIMB,0,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,154,SU19,2019,2,Summer,sea_star,IP,EVATRO,0,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,154,SU19,2019,2,Summer,sea_star,IP,HENSPP,1,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,154,SU19,2019,2,Summer,sea_star,IP,KATTUN,198,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,154,SU19,2019,2,Summer,sea_star,IP,LEPTAS,203,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,154,SU19,2019,2,Summer,sea_star,IP,PATMIN,0,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,154,SU19,2019,2,Summer,sea_star,IP,PISBRE,0,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,154,SU19,2019,2,Summer,sea_star,IP,PISGIG,0,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,154,SU19,2019,2,Summer,sea_star,IP,PISOCH,67,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARG,Cape Arago,4600,43.30894089,-124.40077,154,SU19,2019,2,Summer,sea_star,IP,PYCHEL,0,NULL,NULL,OR,WA Olympic Coast to San Francisco,Oregon,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,45,SP92,1992,1,Spring,sea_star,BT25,PISGIG,0,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,45,SP92,1992,1,Spring,sea_star,BT25,PISOCH,61,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,47,FA92,1992,3,Fall,sea_star,BT25,PISGIG,0,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,47,FA92,1992,3,Fall,sea_star,BT25,PISOCH,36,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,49,SP93,1993,1,Spring,sea_star,BT25,PISGIG,0,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,49,SP93,1993,1,Spring,sea_star,BT25,PISOCH,23,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,51,FA93,1993,3,Fall,sea_star,BT25,PISGIG,0,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,51,FA93,1993,3,Fall,sea_star,BT25,PISOCH,20,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,53,SP94,1994,1,Spring,sea_star,BT25,PISGIG,0,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,53,SP94,1994,1,Spring,sea_star,BT25,PISOCH,6,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,55,FA94,1994,3,Fall,sea_star,BT25,PISGIG,0,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,55,FA94,1994,3,Fall,sea_star,BT25,PISOCH,12,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,57,SP95,1995,1,Spring,sea_star,BT25,PISGIG,0,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,57,SP95,1995,1,Spring,sea_star,BT25,PISOCH,6,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,59,FA95,1995,3,Fall,sea_star,BT25,PISGIG,0,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,59,FA95,1995,3,Fall,sea_star,BT25,PISOCH,4,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,61,SP96,1996,1,Spring,sea_star,BT25,PISGIG,3,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,61,SP96,1996,1,Spring,sea_star,BT25,PISOCH,3,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,63,FA96,1996,3,Fall,sea_star,BT25,PISGIG,0,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,63,FA96,1996,3,Fall,sea_star,BT25,PISOCH,21,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,65,SP97,1997,1,Spring,sea_star,BT25,PISGIG,2,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,65,SP97,1997,1,Spring,sea_star,BT25,PISOCH,36,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,67,FA97,1997,3,Fall,sea_star,BT25,PISGIG,0,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,67,FA97,1997,3,Fall,sea_star,BT25,PISOCH,19,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,69,SP98,1998,1,Spring,sea_star,BT25,PISGIG,0,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
UCSC,ARHO,Arroyo Hondo,6440,34.47343826,-120.14540,69,SP98,1998,1,Spring,sea_star,BT25,PISOCH,9,reference,South Coast,CA South,Government Point to Mexico,California,Mainland,2019-10-31 11:29:34
